Id,Label,Classes,Group
0,H_A predicament,H,1
1,H_Diddiling,H,1
2,H_How to write a blackwood article,H,1
3,H_Lionizing,H,1
4,H_Loss of breath,H,1
5,H_Mellonta Tauta,H,1
6,H_Mystification,H,1
7,H_The angel of the odd,H,1
8,H_The business man,H,1
9,H_The devil in the belfry,H,1
10,H_The literary life of thingum Bob, esq.,H,1
11,H_The spectacles,H,1
12,H_Three sundays in a week,H,1
13,H_Why the little Frechman wears his hand in a sling,H,1
14,H_X-ing a paragrab,H,1
15,R_The gold bug,R,2
16,R_The murders in the Rue Morgue,R,2
17,R_The mystery of Marie Roget,R,2
18,R_The purloined letter,R,2
19,T_A descent into Maelstrom,T,3
20,T_A tale of the ragged mountains,T,3
21,T_Berenice,T,3
22,T_Bon-bon,T,3
23,T_Eleonora,T,3
24,T_Hop-frog,T,3
25,T_King pest,T,3
26,T_Le Duc de l_Omelette,T,3
27,T_Ligeia,T,3
28,T_Mesmeric revelation,T,3
29,T_Metzengerstein,T,3
30,T_Morella,T,3
31,T_Ms. found in a bottle,T,3
32,T_Never bet the Devil your head,T,3
33,T_Shadow A parable,T,3
34,T_Silence_a fable,T,3
35,T_Some words with a mummy,T,3
36,T_The assignation,T,3
37,T_The black cat,T,3
38,T_The cask of Amontillado,T,3
39,T_The fall of the house of Usher,T,3
40,T_The imp of the perverse,T,3
41,T_The man that was used up,T,3
42,T_The masque of the red death,T,3
43,T_The oblong box,T,3
44,T_The overall portrait,T,3
45,T_The pit and the pendulum,T,3
46,T_The power of the words,T,3
47,T_The premature burial,T,3
48,T_The system of doctor Tarr and professor Fether,T,3
49,T_The tell-tale heart,T,3
50,T_Thou art the man,T,3
51,T_William Wilson,T,3
52,VT_A tale of Jerusalem,VT,4
53,VT_Four beasts in one,VT,4
54,VT_Landor_s cottage,VT,4
55,VT_Maelzel_s chessplayer,VT,4
56,VT_The balloon Hoax,VT,4
57,VT_The colloquy of Monos and Una,VT,4
58,VT_The conversation of Eiros and Charmion,VT,4
59,VT_The domain of Arnheim,VT,4
60,VT_The island of the fay,VT,4
61,VT_The man of the crowd,VT,4
62,VT_The sphinx,VT,4
63,VT_The thousand-and-second tale of Scheherazade,VT,4
64,VT_The unparalleled adventure of one Hans Pfaall,VT,4
65,VT_Von Kempelen and his discovery,VT,4
